雕刻时光咖啡馆	咖啡厅	59	3.5	175	7.6	8.2	7.8	大学路318号	2002/3/22
麦当劳	小吃快餐	23	3.5	521	7.2	7.1	6.9	邯郸路600号万达商业广场B1楼A05号铺	2002/3/23
再添缘竹荪山药落汤鸡	火锅	59	5	151	9.1	8.8	9.1	国权路207号	2002/3/24
大卡司美食饮品专卖	面包甜点	12	3.5	272	7.6	7.5	7.7	邯郸路585号苏宁电器B1楼B1-1铺	2002/3/25
池上便当	小吃快餐	15	3.5	90	7.3	7	7.2	邯郸路100号	2002/3/26
wesTside	其他	115	4	297	7.7	8.2	7.5	大学路246号	2002/3/27
简饮	面包甜点	8	3	20	6.5	6.6	6.6	四平路2500号	2002/3/28
溪舟面馆	小吃快餐	17	5	61	9	9.1	9.1	五角场政通路112号	2002/3/29
吉祥馄饨	小吃快餐	13	3.5	160	7.2	7	7	四平路1900号	2002/3/30
奇异宝贝	面包甜点	13	4	63	7.9	7.9	8.2	长寿路401号亚新生活广场	2002/3/31
横贯线海鲜烤肉自助餐厅	自助餐	84	4.5	380	8.4	8.6	8.6	政通路132号	2002/4/1
油尖旺捞面	小吃快餐	28	3.5	58	7.3	7.1	7.3	政通路116号	2002/4/2
大馥炭火烧肉屋	日本菜	118	5	2978	9.2	9	9.2	政民路340号	2002/4/3
杏花楼	面包甜点	21	3.5	33	7.1	6.9	6.8	邯郸路600号万达商业广场第一食品2楼	2002/4/4
92°Ccoffee	咖啡厅	15	4.5	35	8.8	8.6	9	政立路62号	2002/4/5
a:tfox午后小狐	其他	52	4.5	160	8.2	9.1	9	锦嘉路126号	2002/4/6
Kyochon1991校村	韩国料理	62	3.5	1221	7.8	8.1	7.1	大学路300号	2002/4/7
老上海米道中式点心	小吃快餐	8	3	23	6.9	6.9	6.9	邯郸路600号万达商业广场第一食品商店2楼	2002/4/8
功德林净素食品专卖店	小吃快餐	23	3.5	89	6.9	6.6	6.6	邯郸路600号万达商业广场食品一店2楼	2002/4/9
金粉世家	小吃快餐	15	4	352	7.8	7.5	7.5	国定东路273弄绿地汇创国际广场	2002/4/10
和平面包房	面包甜点	18	3.5	20	6.8	6.6	6.6	邯郸路600号万达商业广场食品一店2楼	2002/4/11
八鲜老鸭粉丝汤	小吃快餐	15	3.5	40	7.4	6.8	7.2	邯郸路600号万达广场第一食品商店2楼	2002/4/12
好粥到	小吃快餐	12	3.5	16	7.1	6.8	6.9	四平路1967号	2002/4/13
吴茂兴本帮面	其他	15	3.5	9	7.5	7.3	7.3	政旦东路34号	2002/4/14
九州拉面	日本菜	34	3.5	147	7.6	7.4	7.6	国定东路275号1号103	2002/4/15
大师傅西点面包房	面包甜点	8	3.5	39	7.4	7.2	7.4	三门路486号	2002/4/16
掌上韩品	韩国料理	42	4.5	135	8.5	8.8	8.4	邯郸路600号万达商业广场B1楼8-33B铺	2002/4/17
景釜宫	韩国料理	84	4.5	25	8.7	8.7	8.7	星汇广场国安路758弄48号204(淞沪路殷高东路	2002/4/18
临文轩	本帮江浙菜	109	4.5	610	8.5	8.8	8.4	国定路333号三号湾广场三楼（近邯郸路）	2002/4/19
蜀公馆成都老火锅	火锅	100	5	9413	9.1	9.1	9.1	邯郸路600号万达广场第一食品店5楼501-A	2002/4/20
私房麻辣烫	小吃快餐	19	4	135	7.9	7.7	7.8	长海路597号	2002/4/21
inWE因味茶	其他	36	5	399	9	9.1	9.1	大学路72-80号	2002/4/22
北国江城	东北菜	17	4	10	7.9	7.5	7.9	政立路761号	2002/4/23
复旦大学南区食堂	小吃快餐	8	3	43	6.3	6.2	6.2	邯郸路220号复旦大学内	2002/4/24
军铁城饺子城	东北菜	20	3.5	17	6.9	6.4	6.9	武川路9号申曼宾馆B1楼	2002/4/25
DQ冰雪皇后	面包甜点	25	4.5	4196	8.1	7.7	7.8	政通路189号万达广场特力屋时尚汇1楼101号铺	2002/4/26
可颂坊	面包甜点	15	3	399	6.8	6.6	5.8	国权路525号	2002/4/27
TIKICHINA夏威夷餐厅	西餐	140	4.5	456	8.8	9.2	9.1	淞沪路333号102B	2002/4/28
杜佰瑞冰淇淋	面包甜点	20	4	702	7.5	7.1	7.3	淞沪路8号百联又一城8楼17.5影城内	2002/4/29
丰收日	本帮江浙菜	121	4.5	2115	8.4	8.3	7.9	四平路2152号	2002/4/30
今日牛事	火锅	107	5	454	9.2	9.1	9.2	黄兴路1766号	2002/5/1
鑫栗王	小吃快餐	18	3.5	13	7.4	7.4	7.4	政通路	2002/5/2
仙芋工坊	面包甜点	14	4	147	7.7	7.6	7.8	邯郸路608弄万达影院1楼003号铺	2002/5/3
曹林米线	小吃快餐	19	3.5	21	7.5	7.2	7.4	政通路97号	2002/5/4
齐鲁人家	其他	72	4.5	262	8.7	7.6	8	国泰路48号	2002/5/5
黑鸡小馆	本帮江浙菜	69	4.5	2944	8.9	9.1	9	政通路189号特力时尚汇4楼411B号铺	2002/5/6
Bohemiacoffee&bar	咖啡厅	109	4	321	7.8	8.1	7.6	大学路297号	2002/5/7
陆老倌湖南手工米粉	小吃快餐	15	4.5	70	9.1	8.1	9	国权北路17号	2002/5/8
广州蕉叶	东南亚菜	118	4.5	13770	8.7	8.8	8.4	邯郸路600号万达商业广场B1城中城A18-3号	2002/5/9
7PuzzleCafe	咖啡厅	42	4	88	8.1	8	8.3	国权路525号副楼	2002/5/10
Max&Salad大开沙界	西餐	45	5	654	9.1	9.1	9.1	淞沪路308号创智天地下沉式广场9号楼B1-103b室	2002/5/11
霞浦海鲜城	海鲜	148	4	60	8.3	7.6	7.7	政立路509号	2002/5/12
串谱	火锅	61	3	147	7.1	6.8	6.8	国定路332号	2002/5/13
蜀歌串舞老成都串串香	火锅	68	3.5	139	7.7	7.5	7.6	政通路234号	2002/5/14
豫味一品土豆粉	小吃快餐	15	3.5	18	7.1	7.2	7.1	国庠路67号	2002/5/15
维扬食府	本帮江浙菜	60	3.5	19	7.2	7.1	6.9	三门路686号	2002/5/16
GatherPizza	西餐	56	4	49	8.2	8.2	8.8	国定路506号06幢108室	2002/5/17
和米堂	日本菜	14	3.5	169	8.1	7.3	7.3	淞沪路8号百联又一城B1楼59号商铺	2002/5/18
郑阿姨的家	韩国料理	85	4.5	4175	8.3	7.8	8.2	武川路37号	2002/5/19
大咀港式茶餐厅	粤菜	76	4.5	4253	9	8.8	8.8	政通路189号特力时尚汇2楼28-30铺	2002/5/20
麻辣教室	小吃快餐	16	3.5	65	8	7.5	7.4	国定路428号2楼（复旦东门鼎茶楼上）	2002/5/21
复旦南区夜市	小吃快餐	8	3.5	17	6.9	6.4	6.7	国权路复旦南区	2002/5/22
业记甜品店	面包甜点	21	3.5	120	7.4	7.4	7.6	国定路600弄40-1号	2002/5/23
哈尔滨风味小吃	东北菜	49	4.5	275	8.4	7.5	8.4	国权路187号	2002/5/24
85度C	面包甜点	15	3.5	358	7.2	7.2	6.9	国定路315号	2002/5/25
旺池川菜	川菜	79	4.5	1067	8.9	9	8.9	政通路189号万达商业广场特力时尚汇5楼501号铺	2002/5/26
豪大大香鸡排	小吃快餐	14	3.5	12	7.2	6.9	7.1	国顺路2049号	2002/5/27
阿良传菜	小吃快餐	57	3	73	6.4	6.2	6.3	国和路489号	2002/5/28
